"pca_id","pca_description","product_family","business_unit","technology_group"
"73-2173-03E1","PCA,SUB,PA-ATM-OC3MM-CES-T1","","",""
"73-2103-01","PCA,SUB,PCPA,VIP","","",""
"73-1909-01E1","PCA,SUB,AMALFI,CLOCK DISTR. MODULE","C5000","EBBU","ENGTG"
"73-15698-01","PCA,MBRD,6X100G -SE, Pyro ( SM) MB","","",""
"73-15331-01","PCA,MBRD,4X100G-TR,  OCTANE, 5-FABRIC","","",""
"73-15337-01","PCA,DBRD,MOD200-TR, Sureshot","","",""
"73-15336-01","PCA,DBRD,MOD400-TR, Sureshot","","",""
"73-15338-01","PCA,MBRD,MOD200-TR, Sureshot","","",""
"73-1525-01","PCASUB,I/O,PSMTX","ERBUOLD","PABU","CTG"
"73-12064-05","PCA,MBRD,CAT4K,K10,SUPVR,CALLISTA","","",""
"73-10140-01","PCA,MBRD,Tsunami, TV lc_req_gnt, GSR","","",""
"73-7537-01","PCA,VIC,4FXO,4CAMA","","",""
"73-14970-02","PCA,MBRD,KOI. TEST/CARRIER CARD","","",""
"73-14921-01","PCA,OTHER,DCM IP AUDIO GW DB25 I/O TESTBOARD","","",""
"73-14922-01","PCA,OTHER,DCM IP AUDIO GW DAUGHTERBOARD TESTBOARD","","",""
"73-15786-01","PCA,OTHER,CYPRUS,RADIO ADAPTER TEST BOARD","","",""
"73-100652-01","PCA, Meteorite_MP48 Test Card","","",""
"73-6363-03","PCA,4PT OC-3 ATM,SMI,C7300,VEGA","7304","SRGBU","ENGTG"
"73-16340-02","PCA,NIC","PANSRG","SRGBU","ENGTG"
"73-16339-02","PCA,NIC","PANSRG","SRGBU","ENGTG"
"73-16338-02","PCA,NIC","PANSRG","SRGBU","ENGTG"
"73-15340-01","PCA,MBRD,MOD200-SE, Sureshot","","",""
"73-15335-01","PCA,MBRD,MOD400-TR, Sureshot","","",""
"73-15330-01","PCA,DBRD,4X100G-SE,  OCTANE, 5-FABRIC","","",""
"73-15350-01","PCA,MBRD,16x10GE MPA, Cliffjumper","","",""
"73-15343-01","PCA,DBRD,MOD400-SE-7FAB, Sureshot","","",""
"73-15347-01","PCA,MBRD,MOD200-TR-7FAB, Sureshot","","",""
"73-15345-01","PCA,MBRD,MOD200-SE-7FAB, Sureshot","","",""
"73-15346-01","PCA,DBRD,MOD200-SE-7FAB, Sureshot","","",""
"73-15348-01","PCA,DBRD,MOD200-TR-7FAB, Sureshot","","",""
"73-3752-02","PCA,SUB,DC P/S,WINCHESTER","","",""
"73-8542-01","PCA,E1M-21,15350","","",""
"73-13989-01","PCA,BKPLN,LF ,7609-S,Infinity 9-slot Backplane","7600","ERBU","CTG"
"73-8840-01","PCA,Jabaship","","",""
"73-2237-01","PCA,SUB,BFR Backplane","","",""
"73-14195-02","PCA,MBRD,ALASKAN48 POWER","","",""
"73-14197-02","PCA,MBRD,PORTER,ALASKAN24 POWER","","",""
"73-4043-04","PCA,NPE-B,PEM,5271","7200","SRGBU","ENGTG"
"73-12105-03","PCA,MBRD,RINGAR-HDI,8PT,10GE, w/CTS","","",""
"73-2215-01","PCA,SUB,PA-JT2","","",""
"73-5281-01","PCA,MIDPLANE,CR-SCHOONER","UBR10K","CABU","SPVTG"
"73-5543-01","PCA,AXSM-16-622","","",""
"73-2849-01","PCA,SUB,GIG SWITCH,12 PORT,SCIROCCO","","",""
"73-8218-01","PCA,SUB, DCMTS-E, CMTS ASSEMBLY","","",""
"73-12781-02","PCA,OTHER,Macro,Power,ISL8120-FullMAC","","",""
"73-5659-01","PCA, CATS Carrier Module for 8510","","",""
"73-2206-04E2","PCA,SUB,PA-12E-2FE","7000CMN","SRGBU","ENGTG"
"73-6886-06","PCA,GE,PMC,SINGLE SFP","","",""
"73-16433-01","PCA,MBRD,BigEasy,PB-FREE","PHONVOC","UCEBU","UCTG"
"73-14597-03","PCA,DBRD,N3K, COLLINA VENTOLA","N3500","INSBU","INSTG"
"73-8448-0151","PCA,SUB,MGX-RJ45-5GE","","",""
"73-9073-02","PCA,MBRD,MIRAGE NM MainBd (Sasquatch&Yeti), 24 FE + 1 GigE + HULC  XDW","","",""
"73-13331-01","PCA,MBRD,Picamix","","",""
"73-8504-01","PCA, Zamboni-Test Board-Slap-Shot","","",""
"73-14185-03","PCA,MBRD, CAMERA LED,BOURBON ST","","",""
"73-8365-01","PCA,G3 MOTHERBOARD,PURPLERAIN","","",""
"73-12012-22","PCA,MBRD,MCP CC 40G,Pb-FREE","","",""
"73-10617-01","PCA,MBRD,POWER_EVALUATION,ADM-10G,15454","","",""
"73-15114-01","PCA,BKPLN,SFR,HFR,Pb-Free","","",""
"73-8576-01","PCA,4PT GIGABIT ETHERNET DTR,PWAN2-TBI","","",""
"73-15483-01","PCA,MBRD,ELASTIGIRL-CR, 48UPOE","","",""
"73-15895-01","PCA,MBRD, ARBELOS-24 CSR, PB-FREE","","",""
"73-13283-04","PCA,MBRD,O2-48MSJ, ARGON,N5K","N5000","DCSABU","SAVTG"
"73-16221-01","PCA,MBRD,GuinnessFE48pwr,PANDA","","",""
"73-16220-01","PCA,MBRD,BeamishFE 24,PANDA","","",""
"73-7484-04","PCA,BAMBOO,ACCESS POINT OPTICAL DC","","",""
"73-13570-01","PCA,DBRD,PF-Excalibur LowQ II ,Link 2 x 10GE DWDM-CR","","",""
"73-13572-01","PCA,DBRD,PF-Excalibur M40G,Earl7.5 3CXL DC-CR","","",""
"73-13224-01","PCA,MBRD, CYLONS, BATTLESTAR, PB-FREE","UBR10K","CABU","SPVTG"
"73-15217-03","PCA,DBRD, TRANSPORT PROCESSOR ,M16,SCAPA","NCS4000","CORBU","CTG"
"73-5982-02","PCA,VCC B1 10GB NUOVA","","",""
"73-5983-02","PCA,B1/ 10GBit","","",""
"73-13538-03","PCA,MBRD,FENWAY 11N,GACK MB","AIR15U","WNBU","ENGTG"
"73-14596-03","PCA,MBRD,ROUNDTABLE,CR,BOTTOM BOARD,Pb-free","PHONVID","UCEBU","UCTG"
"73-16469-02","PCA,NIC,Clear Lake","UCSC","SAVBU","SAVTG"
"73-7201-01","PCA,WILMA,-48V POWER","","",""
"73-5961-02","PCA,RF/B Module","","",""
"73-9929-03","PCA,OTHERGALAXY9,NYX-BASECARD","","",""
"73-14053-01","PCA,MBRD,QSFP,2xPAT,LC,PANINI","","",""
"73-9017-04","PCA, Common-BIC,15310-MA","15310","CORBU","CTG"
"73-14624-01","PCA,MBRD,BASEBOARD COMBO LOWQ 40G","","",""
"73-2440-01","PCA,SUB,BCC-4T","INACTIV","PABU","CTG"
"73-14061-01","PCA,MBRD,NGMWR-E","PURA","PABU","CTG"
"73-4597-01","PCA,Const+,Artemis, 10 Gig , line card","C6000","EBBU","ENGTG"
"73-10138-01","PCA,MBRD,Tsunami, TV lc_fab_3, GSR","","",""
"73-12880-03","PCA,MBRD,SHERWOOD,MT.RICHMOND,N5K","N5000","DCSABU","SAVTG"
"73-14983-07","PCA,MBRD,PF,NEWTON_CR 48U","C3850","UABU","ENGTG"
"73-2592-02E1","PCA,SUB,BACKPLANE,AK-47","","",""
"73-4764-03","PCA,SUB,PA-MC-OC3SMI (Halcyon)","7000CMN","SRGBU","ENGTG"
"73-10237-01","PCA,Mauna-Loa,MBRD_test-card,GSR","","",""
"73-12100-11","PCA,MBRD,TOP, Pro, PB-FREE","","",""
"73-6362-02","PCA,4PT OC-3 ATM,SML,C7300,VEGA","7304","SRGBU","ENGTG"
"73-2231-01E6","PCA,SUB,PA-4ME1 G703/4 750HM","7000CMN","SRGBU","ENGTG"
"73-16613-02","PCA,MBRD,CPU MODULE,NEWARK,RACK SERVER","","",""
"73-12434-04","PCA,OTHER,,XFRM_NM Adapter, Pb-Free","SEC","SRGBU","ENGTG"
"73-13636-01","PCA,OTHER,BB2,N7K,DIJON 10,ICT,LB,MPC","","",""
"73-14066-01","PCA,MBRD,MTP MEGATRON BRIDGE","","",""
"73-8085-03","PCA,VENUS III,RADIO,100mW,11MB,HEIGHT COMPLIANCE,MINI PCI","","",""
"73-4044417-01","PCA,270/350-1.2GHZ DIPLEX FILTER","","",""
"73-14122-02","PCA,DBRD,Excalibur M40G,Link 20 x 1GE,PF","7600","ERBU","CTG"
"73-14125-02","PCA,DBRD,Excalibur M40G,Earl7.5 3C DC, PF","7600","ERBU","CTG"
"73-7725-04","PCA,GALAXY4,VAR SPEED FAN CTRL,HARMATTAN 4510","C4500","UABU","ENGTG"
"73-15862-04","PCA,MBRD,CANDLESTICK","","",""
"73-13564-01","PCA,DBRD,PF-Excalibur M40G, 2x10GE + 20x1GE-CR","","",""
"73-13571-01","PCA,DBRD,PF-Excalibur LowQ II,Link 4 x 10GE DWDM-CR","","",""
"73-13565-01","PCA,DBRD,PF-Excalibur M40G, 1x10GE + 10x1GE-CR","","",""
"73-8535-01","PCA,AMAC6,ASIC,TEST BOARD","","",""
"73-101383-01","PCA,NTRP,PCIE Adaptor Board","","",""
"73-15926-04","PCA,OTHER,IL Tempo, Front Touch Board","CTSDX","CVEBU","CVTG"
"73-14352-02","PCA,MBRD,TRON centaurus","","",""
"73-8767-01","PCA,MC28J RF MODULE,UBR","","",""
"73-13464-01","PCA,DBRD,VIKING,RSP3-DC","","",""
"73-16616-02","PCA,MBRD,UTAH BROADCOM GH","","",""
"73-13235-04","PCA,OTHER,MBRD,VE Fan Tray,CRS-16,HFR ,Pb-Free","","",""
"73-15499-01","PCA,MBRD,Vortec8","IE2000","IOTBU","ENGTG"
"73-12813-02","PCA,DBRD,SF_LILLIE,I/F,CARD","UCSB","SAVBU","SAVTG"
"73-11298-02","PCA,OTHER,DBRDTEST_DC,Mt.Diablo","","",""
"73-10336-01","THADDEUS-HP","","",""
"73-10824-02","PCA,BKPLN,DC3,LINECARD M/P TEST BOARD","","",""
"73-10823-02","PCA,MBRD,LC INTERFACE TEST CARD","","",""
"73-6130-05","PCA,Sirius SML,2 Port OC12 POS","","",""
"73-7345-0151","PCA,ASY,SMFIR-8-155-LC/C","","",""
"73-16085-03","PCA,MBRD,N77, Brabham-CB-10F, 48 port, 10G, SFP+","","",""
"73-10086-01","PCA, 15454E-HD Fan Tray R-Pwr Mod","","",""
"73-5802-02","PCA,Utility Daughter Board,cr-Schooner","UBR10K","CABU","SPVTG"
"73-6626-01","PCA,CONST+,AIM 10GE-SERIAL","","",""
"73-3944-04","PCA,SUB,CM,8540,BAR,GARF,ROAD","","",""
"73-3923-01","PCA, SUB, MC3810, HCM2","","",""
"73-18786-01","PCA, NG, LC1-DB DUMMY","","",""
"73-6813-01","PCA,EOI,15808 DO NOT USE IT'S A DUPLICATE","","",""
"73-17500-01","PCA,MBRD,SHOCKWAVE, FAN CONTROL BOARD, 134mm FAN, VIKING","","",""
"73-14462-02","PCA,MBRD,8xOC3/OC12 POS,GLADIATOR SPA,Pb-free","","",""
"73-14461-02","PCA,MBRD,2xOC3/OC12 POS,GLADIATOR SPA,Pb-free","","",""
"73-14459-02","PCA,MBRD,4xOC3/OC12 POS,GLADIATOR SPA,Pb-free","","",""
"73-14458-02","PCA,MBRD,4xOC3 POS,GLADIATOR SPA,Pb-free","","",""
"73-14460-02","PCA,MBRD,8xOC3 POS,GLADIATOR SPA,Pb-free","","",""
"73-100782-01","PCA,SCHROEDINGER ENHANCED QSFP28 PASSIVE LB TEST MODULE","","",""
"73-14565-02","PCA,MBRD,SPA, CLEAR CHANNEL T3/E3 4-PORT,Pb-free","","",""
"73-4040445-01","PCA,HD EDFA LASER BOARD","PII35","CABU","SPVTG"
"73-16756-02","PCA,DBRD,Interface Module,1x100G/2x40G","ASR903","PABU","CTG"
"73-12076-03","PCA,MBRD,JUNIOR SECTION Pb-Free,15454","","",""
"73-4912-01","PCA, SUB, WR15900, ENET MEMBER BLADE","","",""
"73-4911-01","PCA, SUB, WR15900, ENET COMMAND BLADE","","",""
"73-4914-01","PCA, SUB, WR15900, 34X34 MATRIX","","",""
"73-4043-01","PCA,SUB,NPE-B,PEM,5271","7200","SRGBU","ENGTG"
"73-15733-02","PCA,OTHER,MUSTAFAR - K10 12 PORT SFP LINECARD","C4500","UABU","ENGTG"
"73-9953-01","PCA,OTHER,GALAXY9,LINESCOPE","","",""
"73-13870-01","PCA,DBRD,PF,BB2,N7K,DIJON 9,ICT,LPBK,MPC","","",""
"73-16891-01","PCA,MBRD,,DPC2,ASR5500 (OEM from NPI))","","",""
"73-2846-01E1","PCA,SUB,GIGABIT ETH,PORT ADPT,PORTOLA","","",""
"73-3255-03","^PCA,JAGUAR,C8510,1 GIG,SINGLE PORT","","",""
"73-17768-01","PCA,FWD AMP,GS7K 1.2G,HO","","",""
"73-3096-01E3","PCA, SUB, T3 TRUNK MODULE","","",""
"73-13113-04","PCA,DBRD,,PF,TELPRES,Invictus's switching mic","CTSIMS","CVEBU","CVTG"
"73-6604-07","PCA,VXSM MB","MGX","SMBU","MITG"
"73-8914-01","PCA,MBRD CHARON","","",""
"73-13556-01","PCA,DBRD,PF-Excalibur, 2x10GE+20x1G-CR","","",""
"73-13553-01","PCA,MBRD,PF-LowQ Phase II 40G Baseboard-CR","","",""
"73-13965-01","PCA,MBRD,MCP FP10G-Non Crypto,Pb-free","","",""
"73-2206-01E1","PCA,SUB,PA-12E-2FE","7000CMN","SRGBU","ENGTG"
"73-5247-04","PCA,AIM: Metro WDM, 50KM","C6000","EBBU","ENGTG"
"73-7495-03","PCA, ONS15600, FAN CONTROL ASSEMBLY CARD","15600","CORBU","CTG"
"73-2458-03","PCA,SUB,OC-CCM-6 SINGLE","","",""
"73-9263-01","PCA,DBRDCONST+,LAFIESTA_FPGA","","",""
"73-7940-02","PCA,SUB,TV2_DC,HFR","","",""
"73-15684-01","PCA,MBRD,KINGFISHER,Fullers-R48PWR-L","C2960XR","UABU","ENGTG"
"73-15687-01","PCA,MBRD,KINGFISHER,Fullers-R24-L","C2960XR","UABU","ENGTG"
"73-15686-01","PCA,MBRD,KINGFISHER,Fullers-R48-L","C2960XR","UABU","ENGTG"
"73-8563-01","PCA, Sipedon VSP-100,Midplane Card","","",""
"73-3168-01","PCA,SUB,MARS,NM,1FE_1E1,BASE,UB","","",""
"73-10205-02","PCA,ISOLA,13 SLOT, PWR ADPTR 2","","",""
"73-16558-02","PCA,OTHER,HALO,BLACKOUT STOUT, XOR RADIO MODULE,XOR -20 to 55C","","",""
"73-8487-01","PCA,SUB,ONS15600,MRC,SUB","","",""
"73-8365-05","PCA,MOTHERBOARD,PURPLERAIN","","",""
"73-13766-01","PCA,DBRD,VIKING,40x1GE,RYAN DC,PB-FREE","ASR9000","ERBU","CTG"
"73-14453-05","PCA,MBRD,PCA,MBRD,CAT4K,K10,SUPVR,JUHANI CR,Pb-FREE","C4500","UABU","ENGTG"
"73-16547-01","PCA,MBRD,SMIRNOFF,STOLI,8xGE,2K,UPLINKS 2x1G/2SFP","C2960CX","UABU","ENGTG"
"73-8347-01","PCA,VENERA,RADIO,100mW,MINI PCI TYPE III","","",""
"73-3448-01","PCA,SUB,7576 BACKPLANE","","",""
"73-8476-02","PCA, PAN4-ILP, SINGLE WIDE IN-LINE POWER CARD","","",""
"73-15659-01","PCA,MBRD,OSP,NORCAL,OSMIUM,SIDE_PLANE,MTP","","",""
"73-6786-02","PCA,OSCM_DIGITAL","","",""
"73-209440-00R","PCA,SUB,SDI RS232D","","",""
"73-7432-05","PCA,BUCKEYE MB,8MB FLASH,16MB DRAM,512 CAM,IND","","",""
"73-181810RND-01","PCA, NTB1G, RND Variant, NTRP Transcoding Broadcom 1st Generation","","",""
"73-16409-01","PCA,OTHER,MONTSERRAT BURNING RIVER P PCA,MONTSERRAT,BURNING RIVER,P,3K Dual -20 to 55C","","",""
"73-1582-03E1","PCA,SUB,VIP-M8T-X.21","7000CMN","SRGBU","ENGTG"
"73-9794-01","PCA,MBRD,E1-63 WORKING FMEC MAIN BRD, 15454E","","",""
"73-7962-03","PCA, 15454, TCC2","","",""
"73-100857-01","PCA,MILOS, TEST MOTHERBOARD","","",""
"73-16575-01","PCA,OTHER,CPAK Main PCB Assembly","","",""
"73-14797-03","PCA,MBRD,HS123-400,LCR,HFR","CRS","CORBU","CTG"
"73-4039683-01","PCA,DOCSIS TRANSPONDER,GS","RF38","CABU","SPVTG"
"73-13062-02","PCA,MDPLN,VE Q MIDPLANE,LCR,HFR","CRS","CORBU","CTG"
"73-9007-01","PCBA,MOTHERBOARD,ADSL,BORAD_A","WANLAN","SRGBU","ENGTG"
"73-8531-01","PCA,ML2-100-8,15310","15310","CORBU","CTG"
"73-16530-02","PCA,MBRD,H-COP, HYPERLITE","","",""
"73-16529-02","PCA,MBRD,H-PROC, HYPERLITE","","",""
"73-16532-02","PCA,MBRD,H-CHAS, HYPERLITE","","",""
"73-15891-02","PCA,MBRD,TORRANCE,Dual Port 10G Base-T Sereno-based MLOM","UCSC","SAVBU","SAVTG"
"73-4456-01","PCA,PWC HAMMERHEAD,48 GE/FE,GBICS,MEZZ","","",""
"73-13880-02","PCA,MBRD,RUBICON,POE","N2KPOE","UABU","ENGTG"
"73-15389-03","PCA,OTHER,Glacier Point,minimiz traces length, Dual QPI interconnect board","UCSB","SAVBU","SAVTG"
"73-8008-01","PCA,TAQUILA48_PLUS,CONST","","",""
"73-2781-01E3","PCA,SUB,101,MB,ARDENT","OLDRIBU","SRGBU","ENGTG"
"73-6622-03","PCA,SWITCH/CPU BOARD,TIMES SQUARE","","",""
"73-13112-04","PCA,MBRD,PF,TELPRES,Invictus's switching mic","CTSIMS","CVEBU","CVTG"
"73-4066242-01","PCA, DEV MAINBRD,PDS3141.","","",""
"73-14740-03","PCA,MBRD,HS13-400,LCR,HFR","","",""
"73-15824-02","PCA,OTHER,ANTIGUA,VIZQUEL,2K,DUAL, 0 to 40C","AIR2700","WNBU","ENGTG"
"73-10283-01","PCA,SUB,Session Board Controller,Orphus","","",""
"73-7318-02","PCA,TCC+,I-TEMP,15454","","",""
"73-100777-01","PCA,DBRD,Dual 915 MHZ NOTCH FILTER RF PCA FOR NANTUCKET,4G,IOTBU","","",""
"73-2710-01E1","PCA,SUB,16MB SRAM U-MEZZANINE,VIP3","","",""
"73-16321-01","PCA, PANDA PWIC-1B-S/T-V3","PANSRG","SRGBU","ENGTG"
"73-15162-03","PCA,MBRD,PF,TELPRES,Camera FPGA, IR","CTSIMS","CVEBU","CVTG"
"73-16093-02","PCA,OTHER,TELPRES,Camera Head,IR, No Drivers","","",""
"73-6035-03","PCA,C6K,OSM-8CHOC12/T3-MM","","",""
"73-6034-02","PCA,C6K,OSM-4CHOC12/T3-SI(CERBERUS)","","",""
"73-5939-02","PCA,NI2 CPU,DAUGHTERBOARD,6260","","",""
"73-6020-03","PCA, Fan Controller Card, Manhattan Phase 0","15540","CORBU","CTG"
"73-5893-05","PCA,OC192_VSR,Vitesse,Module,GSR","GSR","ERBU","CTG"
"73-5732-02","PCA,","","",""
"73-5712-03","PCA, 10000 VPN Subsystem","","",""
"73-5703-02","PCA,SUB,SFC24,GSR","GSR","ERBU","CTG"
"73-6100-02","PCA, ALARM DAUGHTER CARD, MANHATTAN OPTICAL","15540","CORBU","CTG"
"73-6085-0151","PCA,RPM,GEPA","","",""
"73-5690-04","PCA,PINNACLE 4  MODULE W/CONN","C6000","EBBU","ENGTG"
"73-5697-02","PCA,SUB,TAZ","ERBUOLD","PABU","CTG"
"73-16015-01","PCA,DBRD,RUDY2,RSP2A - CPU","","",""
"73-12923-06","PCA,DBRD,PF,EDISON, CELSIUS","C3650","UABU","ENGTG"
"73-8415-01","PCA,REF,FHSPA","","",""
"73-13857-06","PCA,MBRD,FABRIC,L-FC-S,LLC,PANINI","NCS6000","CORBU","CTG"
"73-15754-01","PCA,MBRD,Balboa","","",""
"73-1031-01","PCA,SUB,IGS/TR FLASH CARD","","",""
"73-10143-01","PCA, HARPOON","","",""
"73-3131-04","^PCA,SUB,8PORT EPAM,16K MEM RJ45,JAGUAR","8510","CORBU","CTG"
"73-3131-05","^PCA,SUB,8PORT EPAM,16K MEM RJ45,JAGUAR","8510","CORBU","CTG"
"73-3134-01","PCA,BRAVEHEART3810,FXO-UK","","",""
"73-3183-02","PCA,SUB,JTC","","",""
"73-3155-01","PCA,SUB,NRP PEZ DEBUG","","",""
"73-3165-01","PCA,SUB,REVERS PORT ADAPTER CARRIER,RHINO","","",""
"73-3132-03","^PCA,SUB,8PORT EPAM, 64K MEM, FIBER, JAGUAR","","",""
"73-3150-06","PCA,DRACO,ROUTER DAUGHTER CARD","C6000","EBBU","ENGTG"
"73-16337-02","PCA,NIC","PANSRG","SRGBU","ENGTG"
"73-16336-02","PCA,NIC","APP","SRGBU","ENGTG"
"73-5051-02","PCA,Const+,Helios,16portGig","C6000","EBBU","ENGTG"
"73-4783-02","PCA,VTOA E1 DB,LSBR,C85XX","","",""
"73-4172-03","PCA, SUB, DCIMA-8-FT1","","",""
"73-5485-03","PCA,RF MODULE FCT,UBR","","",""
"73-5489-04","PCA, 15454-SDH,FMEC-CRAFT-POWER","15454E","CORBU","CTG"
"73-5152-02","PCA,ROLEX CLOCK CARD, 13 SLOT BP, CONSTELLATION","C6000","EBBU","ENGTG"
"73-5135-02","PCA,SUB, NPM64","","",""
"73-5660-02","PCA, 15455 DS3 I-VERSION","15454E","CORBU","CTG"
"73-5490-02","PCA, 15454-SDH,FMEC-ALARM-POWER","15454E","CORBU","CTG"
"73-5489-05","PCA, 15454-SDH,FMEC-CRAFT-POWER","15454E","CORBU","CTG"
"73-5489-02","PCA, 15454-SDH,FMEC-CRAFT-POWER","15454E","CORBU","CTG"
"73-18817-05","PCA,MBRD,DPC2","","",""
"73-18818-05","PCA,MBRD,UDPC2","","",""
"73-15477-03","PCA,MBRD,PCA,MBRD,PCA,MBRD,Mr. IncrediblesCR POE+ 48 port","","",""
"73-15088-01","PCA,OTHER,VE FAN TRAY CONNECTOR,PF,CRS-16,HFR,Pb-Free","CRS","CORBU","CTG"
"73-12533-06","PCA,MBRD,TRUCKEE,TAHOE","N2000","DCSABU","SAVTG"
"73-16768-03","PCA,OTHER,MODULE,POE,GEMINI,IOT","M2M800","IOTBU","ENGTG"
"73-16741-02","PCA,OTHER,Victory-G3 NIM test card,Pb-Free","","",""
"73-16107-01","PCA,DBRD,Status board for Del Norte","","",""
"73-3655-01","PCAMAP,MILAN,SWORDFISH,32 PORT 10/100","","",""
"73-15218-02","PCA,MDPLN,NORCAL MODULAR MIDPLANE, PANTHER BEACH","","",""
"73-15259-02","PCA,MBRD,PCIE BREAKOUT CARD FOR TESTING ONLY","","",""
"73-1694-01","PCA,SUB,SIERRA-LITE,DOSXX","","",""
"73-3129-01E3","PCA, SUB, COMMON CARD","","",""
"73-16749-01","PCA,OTHER,RUDY,8T1E1","ASR903","PABU","CTG"
"73-2380-01E6","PCA,SUB,SUBSCRIBER UNIT,CR","UBR7200","CABU","SPVTG"
"73-13769-01","PCA,DBRD,MEGALON-F","","",""
"73-13765-01","PCA,DBRD,MEGALON-C","","",""
"73-15978-01","PCA,DBRD,TITANO3,NCS2K,15454","","",""
"73-15003-05","PCA,MBRD, N77,PESCARA-40-CB,24PT 40G,DCE","N7000","ECBU","CTG"
"73-16272-01","PCA,OTHER,XFP-RF QAM Tx BOARD","","",""
"73-17723-04","PCA- Crescent City 2.0 TPM, DB","","",""
"73-100655-01","PCA, Meteorite_Sol48 Test Card","","",""
"73-100578-03","PCA,HPF/TRIM,1.2GHz GS7K 204/258","","",""
"73-100577-03","PCA,HPF/TRIM,1.2GHz GS7K 85/102","","",""
"73-100575-03","PCA,HPF/TRIM,1.2GHz GS7K 42/54","","",""
"73-100576-03","PCA,HPF/TRIM,1.2GHz GS7K 65/86","","",""
"73-15516-01","PCA,OTHER,Telstar,Ethernet Test Card","","",""
"73-3036-01","PCA,SUB,SYNERGY,LED,48P 10/100 CARD","","",""
"73-2380-03E1","PCA,SUB,SUBSCRIBER UNIT,CR","UBR7200","CABU","SPVTG"
"73-3827-0152","ASSY,20 to 28 pin dip converter","","",""
"73-8388-01","PCA,NM-HDV2--2T1/E1","ICV","SRGBU","ENGTG"
"73-8389-01","PCA,MARS,DSP-30MC","","",""
"73-15979-01","PCA,DBRD,TITANO4,NCS2K,15454","","",""
"73-18110-01","PCA, MADEIRA HDD FP NVME","","",""
"73-18106-01","PCA, MADEIRA GPU PCIE MODULE","","",""
"73-18112-01","PCA, MADEIRA UPI 8S BRIDGE CARD","","",""
"73-15181-07","PCA,MONTSERRAT,BURNING RIVER,DUAL RADIO MODULE ,3K Dual 0 to 40C","","",""
"73-18107-01","PCA, MADEIRA HDD EXT NVME CARD","","",""
"73-15696-04","PCA,MBRD,10 G SFP+ Port /4 SFP ports, Woodlawn SM","WANLAN","SRGBU","ENGTG"
"73-15454-04","PCA,DBRD,PCIE-LCB MEMORY & MSATA CARD, PARAMOUNT","","",""
"73-15456-05","PCA,MBRD, Malibu","","",""
"73-15218-01","PCA,MDPLN,NORCAL MODULAR MIDPLANE","","",""
"73-7390-05","PCA, SUB, ONS15600, XC","","",""
"73-16509-02","PCA,MBRD, NIM-ADPTR","","",""
"73-17522-01","PCA,MBRD,OSP,VECAPY,SVE BASEBOARD","C6000","EBBU","ENGTG"
"73-16681-06","PCA,MBRD,PADDINGTON BRIDGE,PB-FREE","","",""
"73-16766-01","PCA,MBRD,TOR,GEM, PERONI","UCSB","SAVBU","SAVTG"
"73-13269-01","PCA,DBRD,RoadRunnerCR, 10GE Copper","","",""
"73-2754-01","PCA,SUB,CH-OC12-MM","","",""
"73-15964-01","PCA,MBRD,PORTER CR,FULLERS48 FULL POWER","C2960X","UABU","ENGTG"
"73-16067-02","PCA,DBRD,Norcal-64 VE, Indium-IO Board","N6000","DCSABU","SAVTG"
"73-16462-02","PCA,MDPLN,UTAH Risercard","","",""
"73-16217-02","PCA,MBRD,,SWORD PoE","","",""
"73-16218-02","PCA,DBRD,SWORD DBRD ISR4331/K9","4300ISR","SRGBU","ENGTG"
"73-16097-01","PCA,NIC,18x1GE EPA, Gorgon","","",""
"73-5777-01","PCA,15454,ATM,DS3,MB","","",""
"73-5778-01","PCA,15454,ATM,DGHTR","15454","CORBU","CTG"
"73-5776-01","PCA,15454,ATM,OC3,MB","15454","CORBU","CTG"
"73-17892-01","PCA,DBRD,PROGRESS,MORENO 1G","","",""
"73-17894-01","PCA,DBRD,PRIDE,MORENO 1G","","",""
"73-17895-01","PCA,DBRD,MODE SWITCH,MORENO 1G","","",""
"73-3066-01E1","PCA,SUB,ANG,FIX,LTX","","",""
"73-10176-02","PCA,ISOLA,TEST LINE CARD","","",""
"73-3968-02","PCA, SUB, WIRELESS IF BD","","",""
"73-9519-01","PCA,DBRD,MCP SPA IP Load Card","","",""
"73-11549-02","PCA,MBRD,GALAHAD KEYPAD, PB-FREE","","",""
"73-2410-08","PCA,SUB,PA,CE3","7000CMN","SRGBU","ENGTG"
"73-210920-00","ASSY PCB ATM BC-E3","","",""
"73-11960-02","PCA,OTHER,VOICE SPA, DSP ONLY","SPA","SSEBU","CTG"
"73-6508-08","PCA,RX_WCM,FEC_10Gb","","",""
"73-8405-03","PCA,Zappa VSP-200 Daughterboard","","",""
"73-2194-01E3","PCA,SUB,VIP,PA-8BRI-ST","7000CMN","SRGBU","ENGTG"
"73-10394-03","PCA,GALAXY9,TEST CARD,EXTREMO","","",""
"73-9741-01","PCA, CAT4K, Whitesands, 24QAM LN Card","UMG","CABU","SPVTG"
"73-5743-01","PCA,SUB,PA-2FE-TX (ALT)","","",""
"73-2434-02","PCA,SUB,PA-ATM-DELUXE-E3","","",""
"73-100315-01","PCA, Sendai Microphone Interface Board","CTSMPS","CVEBU","CVTG"
"73-16262-03","PCA,BKPLN,M9 Backplane, SCAPA","","",""
